,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
OG110,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0
OG111,7.0,8.0,4.0,10.0,12.0,8.0,7.0,17.0,12.0,0.0,0.0,5.0,12.0,11.0,12.0,6.0,2.0,7.0
OG112,236.0,372.0,199.0,407.0,458.0,283.0,477.0,376.0,473.0,406.0,135.0,454.0,439.0,778.0,531.0,311.0,223.0,428.0
OG113,119.0,184.0,111.0,229.0,184.0,182.0,188.0,105.0,171.0,200.0,58.0,218.0,131.0,182.0,192.0,123.0,130.0,196.0
OG114,2.0,4.0,1.0,4.0,5.0,2.0,3.0,1.0,4.0,6.0,0.0,7.0,8.0,4.0,4.0,0.0,0.0,0.0
OG115,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OG116,18.0,23.0,14.0,38.0,31.0,23.0,52.0,50.0,37.0,16.0,6.0,18.0,19.0,23.0,31.0,22.0,16.0,23.0
OG117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
OG118,14.0,19.0,10.0,31.0,21.0,26.0,15.0,18.0,32.0,9.0,3.0,17.0,8.0,11.0,11.0,28.0,16.0,37.0
OG119,1.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
OG120,44.0,74.0,32.0,47.0,70.0,47.0,90.0,69.0,60.0,16.0,3.0,7.0,70.0,85.0,40.0,24.0,16.0,47.0
OG121,9.0,9.0,10.0,8.0,20.0,10.0,14.0,7.0,9.0,11.0,2.0,4.0,6.0,2.0,2.0,5.0,2.0,4.0
OG122,27.0,22.0,14.0,29.0,41.0,30.0,70.0,32.0,55.0,22.0,2.0,21.0,17.0,18.0,3.0,23.0,20.0,22.0
OG123,37.0,30.0,27.0,41.0,52.0,35.0,6.0,0.0,7.0,67.0,22.0,58.0,52.0,129.0,120.0,53.0,43.0,54.0
OG124,2410.0,3807.0,2544.0,3153.0,3374.0,2591.0,2971.0,2188.0,2513.0,4350.0,1374.0,4866.0,2941.0,5859.0,4309.0,2452.0,1985.0,3013.0
OG125,17.0,19.0,15.0,20.0,35.0,24.0,6.0,6.0,8.0,32.0,8.0,37.0,91.0,93.0,65.0,32.0,29.0,40.0
OG126,70.0,72.0,90.0,75.0,91.0,57.0,8.0,6.0,6.0,152.0,43.0,159.0,116.0,216.0,201.0,91.0,79.0,104.0
OG127,10.0,19.0,22.0,22.0,21.0,19.0,0.0,0.0,0.0,38.0,9.0,42.0,25.0,60.0,40.0,17.0,24.0,19.0
OG128,103.0,110.0,56.0,82.0,97.0,48.0,131.0,63.0,121.0,61.0,16.0,158.0,18.0,25.0,23.0,32.0,26.0,46.0
OG129,7.0,10.0,5.0,17.0,23.0,8.0,19.0,9.0,6.0,1.0,4.0,6.0,5.0,5.0,5.0,9.0,4.0,5.0
OG130,91.0,182.0,93.0,69.0,100.0,77.0,197.0,94.0,119.0,4.0,0.0,2.0,218.0,281.0,155.0,79.0,60.0,92.0
OG131,60.0,40.0,38.0,50.0,48.0,29.0,42.0,21.0,36.0,47.0,15.0,35.0,83.0,144.0,140.0,94.0,84.0,109.0
OG132,263.0,336.0,156.0,493.0,431.0,359.0,491.0,389.0,518.0,288.0,80.0,396.0,65.0,118.0,119.0,207.0,179.0,299.0
OG133,367.0,473.0,233.0,377.0,524.0,378.0,805.0,609.0,741.0,458.0,152.0,542.0,28.0,11.0,17.0,202.0,213.0,345.0
OG134,149.0,237.0,139.0,238.0,233.0,149.0,240.0,166.0,192.0,187.0,68.0,234.0,156.0,262.0,163.0,118.0,117.0,154.0
OG135,6.0,15.0,10.0,10.0,15.0,9.0,14.0,7.0,8.0,17.0,4.0,7.0,7.0,5.0,7.0,8.0,12.0,9.0
