0,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
NLANBGKA_00277,535,675,34,0,0,0,24,232,49,326,57,62,957,134,147,13,25,55
NLANBGKA_00278,608,900,58,0,0,0,39,281,94,380,119,61,1252,170,172,11,29,67
NLANBGKA_00279,170,224,12,0,0,0,19,59,21,91,14,13,339,60,48,6,3,15
NLANBGKA_00281,187,215,12,0,0,0,11,57,20,92,24,13,381,45,47,2,6,16
NLANBGKA_00282,436,635,37,0,0,0,19,173,51,235,55,28,807,109,92,8,7,27
NLANBGKA_00283,2399,4525,204,0,0,0,112,1161,310,1563,368,257,5152,665,708,39,59,218
NLANBGKA_00284,919,1748,75,0,0,0,48,396,109,522,134,90,1903,201,251,13,19,61
NLANBGKA_00285,1281,1715,85,0,0,0,63,519,176,747,121,111,2562,380,474,16,60,145
NLANBGKA_00286,24,28,5,0,0,0,2,13,2,15,2,6,15,5,1,1,1,2
NLANBGKA_00287,490,559,47,0,0,1,20,157,53,241,50,56,769,85,173,4,18,40
NLANBGKA_00288,108,144,5,1,0,0,3,31,19,71,7,19,234,23,83,6,8,12
NLANBGKA_00289,471,772,44,0,0,0,37,233,35,266,84,72,1217,163,189,8,12,30
NLANBGKA_00290,179,256,22,0,0,0,12,73,23,94,23,19,337,48,57,3,9,19
NLANBGKA_00291,38,69,0,0,0,0,5,16,7,30,5,7,70,8,15,1,1,7
NLANBGKA_00292,98,139,9,0,0,0,4,42,10,55,17,11,193,40,25,1,2,13
NLANBGKA_00293,156,221,9,0,0,0,15,69,32,108,23,23,381,64,68,2,7,22
NLANBGKA_00294,182,263,16,0,0,0,7,85,18,99,29,20,432,65,49,5,12,20
NLANBGKA_00295,434,488,33,0,0,0,18,148,47,197,29,32,674,87,93,3,13,32
NLANBGKA_00296,16,18,2,0,0,0,0,1,0,5,1,1,19,2,2,0,0,0
NLANBGKA_00297,869,1142,66,0,0,1,34,299,116,411,57,64,1437,217,356,16,38,94
NLANBGKA_00298,708,1407,68,0,0,0,49,291,92,421,105,98,1201,189,179,4,22,82
NLANBGKA_00299,134,223,12,0,0,0,7,44,20,88,13,16,222,32,53,4,5,14
NLANBGKA_00300,1517,2512,141,0,0,0,64,695,164,1001,178,198,1941,312,251,36,39,111
NLANBGKA_00301,305,392,14,0,0,0,11,121,33,154,36,27,484,69,55,6,9,18
NLANBGKA_00302,18,17,0,0,0,0,1,7,0,11,1,3,59,7,9,0,1,1
NLANBGKA_00303,167,206,15,0,0,0,7,74,26,96,9,25,374,40,56,4,10,19
