Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_00191	592	857	58	50	243	94	357	73	59	1145	169	246	18	50	90	102	100	127	184	108	134	115	126	99	119	133	183	201	304	189	148.31	110	142	113	145	231	2.122	1.085	4.571	4.85421111699573e-06	0.000114396895806462	0.0331	0.0194	0.026	0.026	TRUE	0.1809
NLANBGKA_00086	6023	8655	462	293	2388	750	3085	599	553	14738	1750	2063	119	228	664	1042	1012	1015	1076	1061	1069	994	1033	932	1531	1379	1531	1327	1387	1394	1185.58	1023	1069	986	1480	1369	1.345	0.428	4.54	5.63277992668068e-06	0.00013023669951689	0.001	0.011	0.0041	0.0041	TRUE	0.0167
NLANBGKA_00225	17609	24408	1408	882	7052	2474	9064	1948	1815	38920	5588	8961	375	963	2230	3046	2855	3094	3239	3132	3526	2922	3359	3059	4044	4403	6649	4183	5859	4681	3870.07	2998	3299	3113	5032	4908	1.641	0.714	4.532	5.84716810007592e-06	0.000132994831993048	0.0236	0.0101	0.0171	0.0171	TRUE	0.3856
NLANBGKA_01074	29	58	14	27	46	48	65	23	70	52	62	117	36	56	77	5	7	31	99	20	68	21	40	118	5	49	87	402	341	162	96.94	14	62	60	47	302	22.869	4.515	4.526	6.01133575414129e-06	0.000132994831993048	0.6784	0.0245	0.3047	0.6784	TRUE	0.2169
NLANBGKA_01604	15	39	0	1	13	9	22	5	7	80	13	22	4	4	8	3	5	0	4	6	13	7	9	12	8	10	16	45	24	17	11.84	3	8	9	11	29	7.495	2.906	4.526	6.01352778998709e-06	0.000132994831993048	0.1522	0.1308	0.14	0.14	TRUE	0.069
NLANBGKA_00875	688	1120	62	62	409	117	434	88	80	2216	304	410	12	48	113	119	131	136	228	182	167	140	152	135	230	240	304	134	292	237	188.39	129	192	142	258	221	1.834	0.875	4.472	7.73155670385966e-06	0.000166174021550561	0.0116	0.0173	0.0146	0.0146	TRUE	0.0502
NLANBGKA_00260	351	522	28	30	150	52	195	34	48	2166	284	432	19	25	48	61	61	62	110	67	74	63	59	81	225	224	321	212	152	101	124.72	61	84	68	257	155	2.265	1.18	4.461	8.14284817576293e-06	0.000172583143280753	0.0355	0.0212	0.0276	0.0276	TRUE	0.0842
NLANBGKA_00963	3896	5618	319	200	1689	510	2084	397	401	8024	931	1197	81	185	420	674	657	701	734	750	727	672	685	676	834	734	888	904	1126	882	776.13	677	737	678	819	971	1.428	0.514	4.437	9.10855057008634e-06	0.000187833083377727	0.0028	0.0116	0.0064	0.0064	TRUE	0.0819
NLANBGKA_00360	4081	6017	325	209	2123	569	2537	455	388	10307	1571	1400	85	166	542	706	704	714	767	943	811	818	785	654	1071	1238	1039	948	1010	1138	889.67	708	840	752	1116	1032	1.485	0.571	4.431	9.39395943498539e-06	0.000191135761303836	0.0069	0.0114	0.0088	0.0088	TRUE	0.0602
NLANBGKA_01703	48	91	8	15	28	7	33	6	12	144	30	34	6	11	18	8	11	18	55	12	10	11	10	20	15	24	25	67	67	38	26.05	12	26	14	21	57	4.913	2.297	4.427	9.53465555368763e-06	0.000191445847038517	0.1972	0.0648	0.1207	0.1207	TRUE	0.8763
NLANBGKA_01783	392	537	33	17	246	71	204	44	34	1033	141	124	12	24	61	68	63	73	62	109	101	66	76	57	107	111	92	134	146	128	92.89	68	91	66	103	136	2.02	1.014	4.376	1.2111881117851e-05	0.000236958084433853	0.0079	0.0252	0.0171	0.0171	TRUE	0.1125
NLANBGKA_00418	177	201	16	39	74	39	91	14	27	219	40	36	13	21	28	31	24	35	143	33	56	29	24	46	23	32	27	145	128	59	55.5	30	77	33	27	111	3.536	1.822	4.28	1.87021754929161e-05	0.000343849636170963	0.1612	0.0356	0.0927	0.0927	TRUE	0.2871
NLANBGKA_00180	194	268	11	15	90	37	136	27	29	361	55	116	17	13	27	34	31	24	55	40	53	44	47	49	38	43	86	190	79	57	57.9	30	49	47	56	109	3.018	1.593	4.252	2.11731907205451e-05	0.000380121047524139	0.0993	0.0345	0.0634	0.0634	TRUE	0.1914
NLANBGKA_00422	753	984	65	41	319	124	429	81	72	2137	296	527	15	48	127	130	115	143	151	142	177	138	140	121	222	233	391	167	292	267	188.58	129	157	133	282	242	1.98	0.986	4.248	2.15216023673514e-05	0.000381883316425328	0.0347	0.0173	0.0256	0.0256	TRUE	0.5181
NLANBGKA_00108	62	91	3	6	38	16	49	14	5	143	24	16	5	2	22	11	11	7	22	17	23	16	24	8	15	19	12	56	12	46	19.85	10	21	16	15	38	3.751	1.907	4.24	2.23751035940048e-05	0.00039246446074082	0.0217	0.0819	0.063	0.063	TRUE	0.0884
NLANBGKA_00267	1374	2274	115	86	721	199	959	249	158	4966	679	783	37	58	215	238	266	253	316	320	284	309	429	266	516	535	581	413	353	451	368.65	252	307	335	544	406	1.636	0.71	4.2	2.67455895645906e-05	0.000453486329728502	0.0136	0.0136	0.013	0.013	TRUE	0.2336
NLANBGKA_01808	197	246	14	8	72	29	95	18	28	367	43	94	9	18	30	34	29	31	29	32	41	31	31	47	38	34	70	100	110	63	47.99	31	34	36	47	91	2.7	1.433	4.181	2.90264266378862e-05	0.000486750846696861	0.054	0.0396	0.0462	0.0462	TRUE	0.4601
NLANBGKA_01012	1186	1771	121	66	634	169	786	134	143	3353	477	598	41	58	153	205	207	266	242	282	241	253	231	241	348	376	444	457	353	321	297.85	226	255	242	389	377	1.634	0.708	4.135	3.55581015672366e-05	0.000577251733953224	0.0117	0.0146	0.0125	0.0125	TRUE	0.0904
NLANBGKA_01743	1329	2094	103	61	524	143	710	136	121	3358	496	481	26	68	168	230	245	226	224	233	204	229	235	204	349	391	357	290	414	353	278.8	234	220	223	366	352	1.525	0.609	4.132	3.59499524323887e-05	0.000577469762229738	0.0019	0.0149	0.0076	0.0076	TRUE	0.0241
