Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_00260	351	522	28	30	150	52	195	34	48	2166	284	432	19	25	48	61	61	62	110	67	74	63	59	81	225	224	321	212	152	101	124.72	61	84	68	257	155	3.274	1.711	7.471	7.94754667948217e-14	8.45089130251604e-12	0.0355	0.0212	0.0276	0.0276	TRUE	0.0842
NLANBGKA_01337	713	956	55	49	276	94	362	70	64	2797	412	422	16	41	75	123	112	121	180	123	134	117	121	108	291	325	313	178	249	157	176.77	119	146	115	310	195	2.244	1.166	7.199	6.04822522948253e-13	5.9365656867844e-11	0.0073	0.0178	0.013	0.013	TRUE	0.2493
NLANBGKA_00877	574	825	39	25	231	56	305	55	43	2071	244	318	18	20	62	99	96	86	92	103	80	98	95	72	215	192	236	201	122	130	127.82	94	92	88	214	151	2.3	1.202	6.683	2.33747022266632e-11	1.98840800274815e-09	0.0074	0.021	0.0149	0.0149	TRUE	0.0768
NLANBGKA_00994	529	889	57	17	259	57	341	73	62	1978	289	372	8	15	48	92	104	125	62	115	81	110	126	105	206	228	276	89	91	101	127.35	107	86	114	237	94	2.527	1.337	6.453	1.09677165801122e-10	8.74675397263945e-09	0.0233	0.021	0.0222	0.0222	TRUE	0.3038
NLANBGKA_01787	334	457	29	8	64	28	147	26	22	819	115	127	8	15	40	58	53	64	29	28	40	47	45	37	85	91	94	89	91	84	62.42	58	32	43	90	88	2.803	1.487	6.357	2.05479687342151e-10	1.54230635910932e-08	0	0.0327	0.0183	0.0183	TRUE	0.1366
NLANBGKA_01192	99	185	5	2	31	11	52	14	8	550	77	93	1	0	4	17	22	11	7	14	16	17	24	13	57	61	69	11	0	8	23.15	17	12	18	62	6	4.618	2.207	5.971	2.36436718110312e-09	1.37133296503981e-07	0.0223	0.0716	0.0497	0.0497	TRUE	0.2117
NLANBGKA_00389	259	365	24	17	170	43	134	18	22	1515	211	205	6	1	24	45	43	53	62	76	61	43	31	37	157	166	152	67	6	50	70	47	66	37	158	41	2.311	1.209	5.788	7.13601522349944e-09	3.79398142716054e-07	0.0052	0.0302	0.02	0.02	TRUE	0.2702
NLANBGKA_00387	80	109	2	4	27	6	24	5	5	502	72	80	3	2	5	14	13	4	15	12	9	8	9	8	52	57	59	33	12	10	21.02	10	12	8	56	18	4.917	2.298	5.727	1.02179031948602e-08	4.8289053617191e-07	0.0278	0.0779	0.0586	0.0586	TRUE	0.2814
NLANBGKA_01743	1329	2094	103	61	524	143	710	136	121	3358	496	481	26	68	168	230	245	226	224	233	204	229	235	204	349	391	357	290	414	353	278.8	234	220	223	366	352	1.644	0.717	5.691	1.2665464362014e-08	5.77183304497494e-07	0.0019	0.0149	0.0076	0.0076	TRUE	0.0241
NLANBGKA_00086	6023	8655	462	293	2388	750	3085	599	553	14738	1750	2063	119	228	664	1042	1012	1015	1076	1061	1069	994	1033	932	1531	1379	1531	1327	1387	1394	1185.58	1023	1069	986	1480	1369	1.389	0.474	5.655	1.55597014710406e-08	6.84626864725785e-07	0.001	0.011	0.0041	0.0041	TRUE	0.0167
