Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_00677	631	879	50	35	303	100	325	57	45	1987	220	211	5	14	63	109	103	110	129	135	143	105	98	76	206	173	157	56	85	132	121.06	107	136	93	179	91	1.691	0.758	4.312	1.62016577764373e-05	0.000160770296396954	0.014	0.0216	0.0182	0.0182	TRUE	0.252
NLANBGKA_00828	29688	41921	2500	1358	12222	3973	16542	3278	2969	68547	9059	11877	478	1370	3724	5135	4903	5494	4987	5429	5663	5332	5653	5004	7122	7138	8812	5332	8335	7817	6143.76	5177	5360	5330	7691	7161	1.486	0.572	4.274	1.91571800153978e-05	0.000187476127185168	0.0152	0.01	0.0128	0.0128	TRUE	0.2212
NLANBGKA_00616	321	594	31	38	252	67	229	67	35	1164	169	134	14	14	46	56	69	68	140	112	96	74	116	59	121	133	99	156	85	97	98.66	64	116	83	118	113	1.854	0.89	4.203	2.62826340704085e-05	0.000251993633418309	0.0284	0.0243	0.026	0.026	TRUE	0.2816
NLANBGKA_00153	676	834	53	37	338	103	352	73	77	1456	219	249	16	25	66	117	98	116	136	150	147	113	126	130	151	173	185	178	152	139	140.71	110	144	123	170	156	1.545	0.627	4.15	3.31792429540353e-05	0.000313875638345174	0	0.0199	0.0126	0.0126	TRUE	0.0641
NLANBGKA_01269	3567	5036	289	242	2263	585	2238	409	336	11635	1289	1056	68	57	222	617	589	635	889	1005	834	721	705	566	1209	1016	784	759	347	466	742.74	614	909	664	1003	524	1.64	0.714	4.142	3.44736629824305e-05	0.000323961111073304	0.031	0.0117	0.0205	0.0205	TRUE	0.1473
NLANBGKA_01658	306	376	26	25	130	40	161	25	21	751	112	185	11	18	46	53	44	57	92	58	57	52	43	35	78	88	137	123	110	97	74.89	51	69	43	101	110	1.995	0.997	4.106	4.02062214005534e-05	0.000365721975431957	0.04	0.0289	0.0345	0.0345	TRUE	0.3413
NLANBGKA_00001	240	396	12	25	225	74	247	64	25	964	118	87	4	8	14	42	46	26	92	100	105	80	110	42	100	93	65	45	49	29	68.26	38	99	77	86	41	2.135	1.094	4.084	4.42726324099151e-05	0.000400145639424647	0.059	0.0307	0.0421	0.0421	TRUE	0.0593
NLANBGKA_01719	2120	3112	158	127	897	324	1134	241	273	4543	639	752	54	123	273	367	364	347	466	398	462	366	416	460	472	503	558	602	748	573	473.53	359	442	414	511	641	1.412	0.497	4.049	5.14714629808747e-05	0.000455437226138745	0.0067	0.0128	0.0095	0.0095	TRUE	0.0863
NLANBGKA_01011	1105	1761	130	57	488	150	655	135	103	2820	424	641	31	63	163	191	206	286	209	217	214	211	233	174	293	334	476	346	383	342	274.28	228	213	206	368	357	1.653	0.725	4.028	5.63687135936134e-05	0.000484770936905076	0.0263	0.015	0.0211	0.0211	TRUE	0.2921
NLANBGKA_00959	58	91	3	4	46	14	44	17	8	273	25	37	3	5	17	10	11	7	15	20	20	14	29	13	28	20	27	33	30	36	20.96	9	18	19	25	33	2.579	1.367	3.986	6.71959436258047e-05	0.000564207360976431	0	0.0781	0.0562	0.0562	TRUE	0.284
NLANBGKA_00003	89	221	16	19	165	33	124	25	12	560	88	54	2	3	12	15	26	35	70	73	47	40	43	20	58	69	40	22	18	25	40.21	25	63	34	56	22	2.407	1.267	3.951	7.78327562393962e-05	0.000638408561293082	0.075	0.0454	0.0587	0.0587	TRUE	0.1868
NLANBGKA_01374	444	699	28	32	202	87	284	54	48	997	151	303	13	38	100	77	82	62	118	90	124	92	93	81	104	119	225	145	231	210	123.36	74	111	89	149	195	1.961	0.972	3.951	7.77951670344202e-05	0.000638408561293082	0.0534	0.0214	0.0377	0.0377	TRUE	0.6657
NLANBGKA_01586	1850	2908	138	126	969	229	1154	164	223	4892	654	576	35	81	163	320	340	303	463	430	326	372	283	376	508	515	427	390	493	342	392.66	321	406	344	483	408	1.499	0.584	3.94	8.15549286508606e-05	0.00066129396431755	0.015	0.0134	0.0142	0.0142	TRUE	0.1536
NLANBGKA_00318	141	257	8	10	63	19	84	25	13	440	86	69	3	9	21	24	30	18	37	28	27	27	43	22	46	68	51	33	55	44	36.86	24	31	31	55	44	2.096	1.067	3.899	9.67545890628641e-05	0.000775676620792114	0.031	0.0486	0.0404	0.0404	TRUE	0.0909
NLANBGKA_01018	109	122	12	8	36	15	41	8	11	349	63	58	5	4	34	19	14	26	29	16	21	13	14	19	36	50	43	56	24	71	30.15	20	22	15	43	50	2.358	1.237	3.895	9.83145466835446e-05	0.000783754728898594	0.0503	0.0573	0.0542	0.0542	TRUE	0.0763
NLANBGKA_01732	542	627	41	25	270	120	303	60	71	1235	226	527	35	86	173	94	73	90	92	120	171	98	103	120	128	178	391	390	523	363	195.66	86	128	107	232	425	2.711	1.439	3.857	0.00011482222514123	0.000900180870029868	0.0949	0.0171	0.0564	0.0949	TRUE	0.5379
NLANBGKA_00680	110	187	6	11	66	28	89	22	16	344	39	110	2	8	19	19	22	13	40	29	40	29	38	27	36	31	82	22	49	40	34.42	18	36	31	50	37	2.531	1.34	3.848	0.000118950435621759	0.000925199904972826	0.0874	0.0514	0.069	0.069	TRUE	0.5178
