ID	sample_6A
NLANBGKA_00672	8
NLANBGKA_00673	10
NLANBGKA_00674	0
NLANBGKA_00675	11
NLANBGKA_00676	0
NLANBGKA_00677	5
NLANBGKA_00678	10
NLANBGKA_00679	126
NLANBGKA_00680	2
NLANBGKA_00681	0
NLANBGKA_00682	26
NLANBGKA_00683	2
NLANBGKA_00684	11
NLANBGKA_00685	7
NLANBGKA_00686	27
NLANBGKA_00687	3
NLANBGKA_00688	1
NLANBGKA_00689	5
NLANBGKA_00690	0
NLANBGKA_00691	6
NLANBGKA_00692	0
NLANBGKA_00693	5
NLANBGKA_00694	0
NLANBGKA_00695	5
NLANBGKA_00696	11
NLANBGKA_00697	4
NLANBGKA_00698	1
NLANBGKA_00699	3
NLANBGKA_00700	3
NLANBGKA_00701	1
NLANBGKA_00702	9
NLANBGKA_00703	1
NLANBGKA_00704	0
NLANBGKA_00705	1
NLANBGKA_00706	0
NLANBGKA_00707	2
NLANBGKA_00708	0
NLANBGKA_00709	3
NLANBGKA_00710	2
NLANBGKA_00711	0
NLANBGKA_00712	2
NLANBGKA_00713	0
NLANBGKA_00714	0
NLANBGKA_00715	61
NLANBGKA_00716	0
NLANBGKA_00717	1
NLANBGKA_00718	0
NLANBGKA_00719	26
NLANBGKA_00720	22
NLANBGKA_00721	4
NLANBGKA_00722	0
NLANBGKA_00723	6
NLANBGKA_00724	5
NLANBGKA_00725	13
NLANBGKA_00726	1
NLANBGKA_00727	0
NLANBGKA_00728	0
NLANBGKA_00729	2
NLANBGKA_00730	15
NLANBGKA_00731	2
NLANBGKA_00732	2
NLANBGKA_00733	1
NLANBGKA_00734	0
NLANBGKA_00735	2
NLANBGKA_00736	0
NLANBGKA_00737	0
NLANBGKA_00738	2
NLANBGKA_00739	8
NLANBGKA_00740	21
NLANBGKA_00741	1
NLANBGKA_00742	1
NLANBGKA_00743	63
NLANBGKA_00744	7
NLANBGKA_00745	48
NLANBGKA_00746	2
NLANBGKA_00747	0
NLANBGKA_00748	72
NLANBGKA_00749	25
NLANBGKA_00750	4
NLANBGKA_00751	78
NLANBGKA_00752	41
NLANBGKA_00753	5
NLANBGKA_00754	4
NLANBGKA_00755	8
NLANBGKA_00756	9
NLANBGKA_00757	31
NLANBGKA_00758	45
NLANBGKA_00759	8
NLANBGKA_00760	5
NLANBGKA_00761	3
NLANBGKA_00762	18
NLANBGKA_00763	23
NLANBGKA_00764	36
NLANBGKA_00765	0
NLANBGKA_00766	15
NLANBGKA_00767	1
NLANBGKA_00768	1
NLANBGKA_00769	1
NLANBGKA_00770	4
NLANBGKA_00771	1
NLANBGKA_00772	1
NLANBGKA_00773	5
NLANBGKA_00774	1
NLANBGKA_00775	16
NLANBGKA_00776	40
NLANBGKA_00777	2
NLANBGKA_00778	0
NLANBGKA_00779	3
NLANBGKA_00780	1
NLANBGKA_00781	0
NLANBGKA_00782	28
NLANBGKA_00783	8
NLANBGKA_00784	1
NLANBGKA_00785	12
NLANBGKA_00786	0
NLANBGKA_00787	0
NLANBGKA_00788	2
NLANBGKA_00789	19
NLANBGKA_00790	12
NLANBGKA_00791	0
NLANBGKA_00792	5
NLANBGKA_00793	1
NLANBGKA_00794	20
NLANBGKA_00795	16
NLANBGKA_00796	9
NLANBGKA_00797	20
NLANBGKA_00798	0
NLANBGKA_00799	14
NLANBGKA_00800	2
NLANBGKA_00801	0
NLANBGKA_00802	0
NLANBGKA_00803	0
NLANBGKA_00804	15
NLANBGKA_00805	0
NLANBGKA_00806	0
NLANBGKA_00807	0
NLANBGKA_00808	0
NLANBGKA_00809	2
NLANBGKA_00810	6
NLANBGKA_00811	3
NLANBGKA_00812	1
NLANBGKA_00813	0
NLANBGKA_00814	7
NLANBGKA_00815	8
NLANBGKA_00816	3
NLANBGKA_00817	15
NLANBGKA_00818	8
NLANBGKA_00819	0
NLANBGKA_00820	8
NLANBGKA_00821	18
NLANBGKA_00822	11
NLANBGKA_00823	10
NLANBGKA_00824	0
NLANBGKA_00825	6
NLANBGKA_00826	7
NLANBGKA_00827	1
NLANBGKA_00828	478
NLANBGKA_00829	1
NLANBGKA_00830	4
NLANBGKA_00831	5
NLANBGKA_00832	2
NLANBGKA_00833	27
NLANBGKA_00834	16
NLANBGKA_00835	6
NLANBGKA_00836	17
NLANBGKA_00837	1
NLANBGKA_00838	13
NLANBGKA_00839	0
NLANBGKA_00840	9
NLANBGKA_00841	1
NLANBGKA_00842	3
NLANBGKA_00843	11
NLANBGKA_00844	2
NLANBGKA_00845	8
NLANBGKA_00846	0
NLANBGKA_00847	0
NLANBGKA_00848	2
NLANBGKA_00849	10
NLANBGKA_00850	7
NLANBGKA_00851	11
NLANBGKA_00852	0
NLANBGKA_00853	0
NLANBGKA_00854	0
NLANBGKA_00855	13
NLANBGKA_00856	6
NLANBGKA_00857	5
NLANBGKA_00858	0
NLANBGKA_00859	2
NLANBGKA_00860	1
NLANBGKA_00861	120
NLANBGKA_00862	0
NLANBGKA_00863	1
NLANBGKA_00864	0
NLANBGKA_00865	0
NLANBGKA_00866	6
NLANBGKA_00867	0
NLANBGKA_00868	4
NLANBGKA_00871	52
NLANBGKA_00874	4
NLANBGKA_00875	12
NLANBGKA_00876	10
NLANBGKA_00877	18
NLANBGKA_00878	3
NLANBGKA_00879	0
NLANBGKA_00880	0
NLANBGKA_00881	3
NLANBGKA_00882	6
NLANBGKA_00883	5
NLANBGKA_00884	15
NLANBGKA_00885	0
NLANBGKA_00886	6
NLANBGKA_00887	7
NLANBGKA_00888	1
NLANBGKA_00889	6
NLANBGKA_00890	11
NLANBGKA_00891	0
NLANBGKA_00892	2
NLANBGKA_00893	0
NLANBGKA_00894	2
NLANBGKA_00895	8
NLANBGKA_00896	2
NLANBGKA_00897	22
NLANBGKA_00898	11
NLANBGKA_00899	0
NLANBGKA_00900	0
NLANBGKA_00901	0
NLANBGKA_00902	0
NLANBGKA_00903	4
NLANBGKA_00904	0
NLANBGKA_00905	2
NLANBGKA_00906	24
NLANBGKA_00907	3
NLANBGKA_00908	2
NLANBGKA_00909	3
NLANBGKA_00910	0
NLANBGKA_00911	1
NLANBGKA_00912	171
NLANBGKA_00913	0
NLANBGKA_00914	0
NLANBGKA_00915	4
NLANBGKA_00916	2
NLANBGKA_00917	11
NLANBGKA_00918	5
NLANBGKA_00919	0
NLANBGKA_00920	0
NLANBGKA_00921	18
NLANBGKA_00922	0
NLANBGKA_00923	0
NLANBGKA_00924	0
NLANBGKA_00925	0
NLANBGKA_00926	0
NLANBGKA_00927	0
NLANBGKA_00928	0
NLANBGKA_00929	4
NLANBGKA_00930	0
NLANBGKA_00931	2
NLANBGKA_00932	0
NLANBGKA_00933	188
NLANBGKA_00934	0
NLANBGKA_00935	3
NLANBGKA_00936	0
NLANBGKA_00937	0
NLANBGKA_00938	0
NLANBGKA_00939	2
NLANBGKA_00940	0
NLANBGKA_00941	0
NLANBGKA_00942	0
NLANBGKA_00943	0
NLANBGKA_00944	0
NLANBGKA_00945	0
NLANBGKA_00946	50
NLANBGKA_00947	0
NLANBGKA_00948	0
NLANBGKA_00949	0
NLANBGKA_00950	0
NLANBGKA_00951	0
NLANBGKA_00952	16
NLANBGKA_00953	6
NLANBGKA_00954	6
NLANBGKA_00955	38
NLANBGKA_00956	0
NLANBGKA_00957	4
NLANBGKA_00958	14
NLANBGKA_00959	3
NLANBGKA_00960	32
NLANBGKA_00961	6
NLANBGKA_00962	15
NLANBGKA_00963	81
NLANBGKA_00964	61
NLANBGKA_00965	12
NLANBGKA_00966	0
NLANBGKA_00967	0
NLANBGKA_00968	0
NLANBGKA_00969	0
NLANBGKA_00970	0
NLANBGKA_00971	0
NLANBGKA_00972	0
NLANBGKA_00973	3
NLANBGKA_00974	9
NLANBGKA_00975	0
NLANBGKA_00976	0
NLANBGKA_00977	0
NLANBGKA_00978	0
NLANBGKA_00979	25
NLANBGKA_00980	3
NLANBGKA_00981	4
NLANBGKA_00982	1
NLANBGKA_00983	0
NLANBGKA_00984	2
NLANBGKA_00985	1
NLANBGKA_00986	0
NLANBGKA_00987	2
NLANBGKA_00988	1
NLANBGKA_00989	0
NLANBGKA_00990	3
NLANBGKA_00991	1
NLANBGKA_00992	1
NLANBGKA_00993	12
NLANBGKA_00994	8
NLANBGKA_00995	0
NLANBGKA_00996	0
NLANBGKA_00997	12
NLANBGKA_00998	9
NLANBGKA_00999	0
NLANBGKA_01000	0
NLANBGKA_01001	1
NLANBGKA_01002	0
NLANBGKA_01003	0
NLANBGKA_01004	0
NLANBGKA_01005	3
NLANBGKA_01006	8
NLANBGKA_01007	0
NLANBGKA_01008	8
NLANBGKA_01009	8
NLANBGKA_01010	1
