,Knumber,log2FoldChange.minusSTvsAll
OG671,K21471,0.7809999999999999
OG672,K01695,-0.18899999999999997
OG673,K16899,-0.607
OG674,K01992,-0.8320000000000001
OG675,K02493,0.6859999999999999
OG676,K19285,0.157
OG677,K00567,0.23600000000000002
OG678,K02519,0.47600000000000003
OG681,K01207,-0.21100000000000002
OG682,K00648,0.302
OG684,K00645,0.096
OG685,K02337,-0.114
OG687,K02160,-0.003
OG688,K16898,-0.44299999999999995
OG690,K01552,-0.743
OG691,K01609,-0.141
OG693,K01738,-0.085
OG694,K01658,-0.122
OG698,K01657,-0.358
OG699,K08987,-0.2
OG702,K01874,0.012
OG703,K07001,-0.062
OG704,K22736,-0.62
OG705,K22736,-0.863
OG711,K03790,-0.12300000000000001
OG712,K02552,-0.2
OG713,K02551,-0.102
OG714,K08680,-0.47100000000000003
OG716,K01911,0.244
OG718,K03177,0.564
OG720,K09963,0.069
OG722,K13052,-0.322
OG723,K03789,0.113
OG727,K12296,-0.862
OG730,K01467,0.17300000000000001
OG731,K04075,0.002
OG740,K12573,0.139
OG741,K17686,0.015
OG742,K02798,-1.9769999999999999
OG745,K07260,0.086
OG746,K16013,-0.17600000000000002
OG747,K07213,-0.204
OG748,K00009,-1.8319999999999999
OG749,K01779,-0.139
OG750,K03346,0.326
OG753,K01807,-0.017
OG754,K02042,1.5530000000000002
OG755,K03758,0.221
OG756,K19427,-0.7509999999999999
OG757,K03625,0.444
OG758,K03215,-0.105
OG759,K01788,-0.6970000000000001
OG760,K01262,-0.17600000000000002
OG762,K05985,0.132
OG764,K03424,0.231
OG765,K06180,0.198
OG766,K06975,-0.534
OG767,K19055,-0.006
OG768,K21478,-1.703
OG770,K00859,0.26899999999999996
OG771,K02346,0.302
OG772,K01119,1.464
OG773,K06346,0.153
OG774,K01421,0.693
OG776,K01223,-0.20600000000000002
OG778,K01990,-0.303
OG779,K01118,-0.39
OG780,K01754,0.607
OG781,K02245,-3.549
OG782,K08659,0.78
OG783,K12343,-0.527
OG784,K01491,0.546
OG785,K07507,0.217
OG786,K03930,-0.292
OG788,K00147,0.43700000000000006
OG789,K00053,0.306
OG793,K01812,-0.762
OG798,K11065,-0.16399999999999998
OG799,K07404,-0.434
OG801,K00075,0.205
OG802,K06949,-0.03
OG804,K02529,0.12
OG808,K08311,-0.22
OG809,K02549,-0.004
OG812,K22044,0.7020000000000001
OG814,K08998,0.732
OG815,K16012,-0.213
OG816,K03654,0.162
OG820,K03734,0.36
OG821,K03466,-0.149
OG822,K00800,0.7709999999999999
OG823,K03210,0.524
OG824,K03111,-1.669
OG826,K07566,0.541
OG828,K02335,-0.228
OG829,K03731,-0.435
OG831,K01733,0.251
OG832,K17828,2.055
OG835,K09772,0.174
OG836,K00784,0.532
OG837,K04487,0.33899999999999997
OG840,K11749,0.47200000000000003
OG842,K01883,0.371
OG843,K00928,0.581
OG844,K07652,-0.102
OG846,K21471,0.743
OG847,K19222,0.348
OG851,K07258,0.322
OG861,K07497,-0.88
OG864,K14982,0.013000000000000001
OG866,K23265,1.425
OG867,K18104,0.33
OG868,K10804,-0.588
OG871,K03933,-0.361
OG872,K11753,0.228
OG873,K07304,0.474
OG875,K01921,0.243
OG876,K09157,0.5820000000000001
OG877,K06442,-0.483
OG879,K00244,0.115
OG880,K03088,-0.013000000000000001
OG883,K04771,0.861
OG884,K06178,-0.12
OG888,K02016,-0.157
OG889,K01990,-0.389
OG891,K03436,-0.07400000000000001
OG892,K00040,-0.47700000000000004
OG893,K00847,0.261
OG894,K17320,-2.128
OG895,K07192,0.099
OG897,K00432,-0.7959999999999999
OG898,K03737,-0.163
OG900,K07483,-0.536
OG901,K03549,-0.156
OG903,K01834,0.092
OG905,K15738,-0.159
OG906,K01938,0.8320000000000001
OG907,K03976,-0.099
OG909,K07560,-0.743
OG910,K01641,0.071
OG911,K03216,0.907
OG912,K01890,0.10800000000000001
OG913,K01183,-1.385
OG915,K03686,-0.326
OG922,K01661,0.23199999999999998
OG923,K19577,-0.449
OG924,K01738,-0.708
OG926,K00674,0.311
OG929,K16137,-0.284
OG931,K01531,-0.261
OG935,K01652,0.782
OG943,K10441,-0.35700000000000004
OG944,K02004,1.228
OG945,K01261,0.19
OG946,K00031,-0.7829999999999999
OG948,K16787,0.5670000000000001
OG949,K01633,0.113
OG954,K16789,-0.11699999999999999
OG961,K01235,-1.34
OG962,K03321,-0.085
OG963,K03531,0.094
OG966,K19267,0.175
OG970,K00931,0.309
OG973,K01580,-1.045
OG979,K02240,
OG980,K07030,-0.562
OG991,K03111,-0.067
OG994,K00657,-0.11
OG995,K02030,-0.5429999999999999
OG997,K00817,-0.728
OG998,K12997,0.198
OG1001,K05340,-0.218
OG1002,K03975,1.2670000000000001
OG1003,K01160,-0.5660000000000001
OG1004,K01005,0.433
OG1008,K09775,-0.42200000000000004
OG1009,K02529,0.098
OG1010,K03571,0.16899999999999998
OG1011,K04083,-0.042
OG1012,K06925,-0.049
OG1016,K01992,-0.387
OG1017,K02440,0.051
OG1019,K09817,0.41200000000000003
OG1020,K02030,0.446
OG1022,K06183,-0.345
OG1023,K03703,-0.037000000000000005
OG1024,K03553,0.021
OG1027,K06181,-0.34700000000000003
OG1033,K01703,-0.19699999999999998
OG1035,K06200,-0.038
OG1037,K02242,-1.3219999999999998
OG1039,K13953,-0.597
OG1040,K07816,0.026000000000000002
OG1041,K18929,0.10800000000000001
OG1042,K05879,-0.111
OG1047,K21636,-0.098
OG1050,K07483,-0.7509999999999999
OG1054,K00973,0.23399999999999999
OG1057,K01176,-0.45
OG1059,K00759,0.856
OG1061,K18889,-0.366
OG1065,K01304,0.7290000000000001
OG1066,K01223,-1.196
OG1070,K01687,0.741
OG1071,K03293,0.987
OG1072,K10439,-0.223
OG1075,K01586,0.257
OG1078,K03973,1.516
OG1081,K00975,-0.385
OG1082,K00975,-0.593
OG1083,K01215,-0.223
OG1089,K00691,-0.31
OG1090,K00661,-0.805
OG1091,K01740,-1.4040000000000001
OG1092,K02770,0.047
OG1093,K10254,-0.741
OG1097,K07052,-0.34299999999999997
OG1098,K08177,0.938
OG1099,K03811,-0.099
OG1101,K07078,-0.46299999999999997
OG1103,K07386,0.35
OG1104,K00930,-0.6920000000000001
OG1106,K02759,-0.28600000000000003
OG1107,K01662,-1.052
OG1108,K02440,0.094
OG1110,K06960,0.45899999999999996
OG1111,K01662,-0.11599999999999999
OG1112,K01625,-0.256
OG1114,K03086,-0.182
OG1117,K01926,0.525
OG1118,K00016,-0.27699999999999997
OG1120,K03284,-0.39
OG1122,K03695,-0.223
OG1123,K00760,2.101
OG1124,K06950,0.192
OG1125,K07025,0.603
OG1127,K03075,0.363
OG1128,K01101,0.115
OG1129,K07106,-0.815
OG1130,K03596,0.263
OG1131,K01686,-0.361
OG1132,K07009,0.795
OG1133,K03183,-0.32899999999999996
OG1135,K00876,0.28600000000000003
OG1139,K02000,1.304
OG1140,K02001,1.374
OG1140,K02002,1.374
OG1142,K13256,-0.721
OG1143,K06217,0.114
OG1144,K01664,0.14800000000000002
OG1147,K02115,0.129
OG1149,K05845,-0.321
OG1149,K05846,-0.321
OG1151,K11617,0.439
OG1153,K03758,0.6859999999999999
OG1155,K02003,0.583
OG1156,K16169,1.4509999999999998
OG1157,K03816,1.493
OG1158,K05881,-0.035
OG1159,K03711,-0.228
OG1160,K19005,0.828
OG1162,K03293,0.111
OG1163,K07173,-0.068
OG1166,K01953,0.853
OG1168,K03595,0.493
OG1169,K07816,-0.018000000000000002
OG1170,K00858,0.09
OG1171,K05878,-0.023
OG1174,K03685,0.9179999999999999
OG1175,K02837,0.539
OG1177,K03544,0.08900000000000001
OG1178,K10823,-0.203
OG1179,K03978,0.26
OG1181,K06958,-0.159
OG1182,K06131,-0.09
OG1183,K00948,0.325
OG1184,K01869,0.149
OG1185,K15583,-0.11199999999999999
OG1186,K11072,0.128
OG1187,K09816,0.615
OG1188,K11071,0.094
OG1189,K16785,0.39299999999999996
OG1190,K11070,-0.139
OG1191,K11069,-0.03
OG1193,K00845,0.49200000000000005
OG1194,K04047,-0.21
OG1196,K02913,0.841
OG1197,K02911,1.636
OG1198,K15582,-0.055999999999999994
OG1199,K00611,0.934
OG1201,K07478,0.185
OG1202,K02621,0.745
OG1203,K02342,0.221
OG1205,K02622,0.519
OG1206,K03798,0.225
OG1207,K06191,-0.321
OG1208,K02687,-0.001
OG1209,K03647,0.141
OG1210,K00525,-0.318
OG1211,K01139,0.6679999999999999
OG1212,K00526,-0.259
OG1213,K15580,-0.294
