Knumber,log2FoldChange.minusSTvsAll
K07335,0.659
K01489,0.444
K00831,0.145
K01223,-0.551
K01465,1.382
K00756,-0.06
K06158,0.65
K01092,0.002
K03572,0.317
K03700,0.146
K00564,0.052000000000000005
K03602,0.043
K05366,0.46399999999999997
K01069,0.28
K04063,-1.107
K01488,0.649
K21471,0.7809999999999999
K01695,-0.18899999999999997
K16899,-0.607
K01992,-0.8320000000000001
K02493,0.6859999999999999
K19285,0.157
K00567,0.23600000000000002
K02519,0.47600000000000003
K01207,-0.21100000000000002
K00648,0.302
K00645,0.096
K02337,-0.114
K02160,-0.003
K16898,-0.44299999999999995
K01552,-0.743
K01609,-0.141
K01738,-0.085
K01658,-0.122
K01657,-0.358
K08987,-0.2
K01874,0.012
K07001,-0.062
K22736,-0.62
K22736,-0.863
K03790,-0.12300000000000001
K02552,-0.2
K02551,-0.102
K08680,-0.47100000000000003
K01911,0.244
K03177,0.564
K09963,0.069
K13052,-0.322
K03789,0.113
K12296,-0.862
K01467,0.17300000000000001
K04075,0.002
K12573,0.139
K17686,0.015
K02798,-1.9769999999999999
K07260,0.086
K16013,-0.17600000000000002
K07213,-0.204
K00009,-1.8319999999999999
K01779,-0.139
K03346,0.326
K01807,-0.017
K02042,1.5530000000000002
K03758,0.221
K19427,-0.7509999999999999
K03625,0.444
K03215,-0.105
K01788,-0.6970000000000001
K01262,-0.17600000000000002
K05985,0.132
K03424,0.231
K06180,0.198
K06975,-0.534
K19055,-0.006
K21478,-1.703
K00859,0.26899999999999996
K02346,0.302
K01119,1.464
K06346,0.153
K01421,0.693
K01223,-0.20600000000000002
K01990,-0.303
K01118,-0.39
K01754,0.607
K02245,-3.549
K08659,0.78
K12343,-0.527
K01491,0.546
K07507,0.217
K03930,-0.292
K00147,0.43700000000000006
K00053,0.306
K01812,-0.762
K11065,-0.16399999999999998
K07404,-0.434
K00075,0.205
K06949,-0.03
K02529,0.12
K08311,-0.22
K02549,-0.004
K22044,0.7020000000000001
K08998,0.732
K16012,-0.213
K03654,0.162
K03734,0.36
K03466,-0.149
K00800,0.7709999999999999
K03210,0.524
K03111,-1.669
K07566,0.541
K02335,-0.228
K03731,-0.435
K01733,0.251
K17828,2.055
K09772,0.174
K00784,0.532
K04487,0.33899999999999997
K11749,0.47200000000000003
K01883,0.371
K00928,0.581
K07652,-0.102
K21471,0.743
K19222,0.348
K07258,0.322
K07497,-0.88
K14982,0.013000000000000001
K23265,1.425
K18104,0.33
K10804,-0.588
K03933,-0.361
K11753,0.228
K07304,0.474
K01921,0.243
K09157,0.5820000000000001
K06442,-0.483
K00244,0.115
K03088,-0.013000000000000001
K04771,0.861
K06178,-0.12
K02016,-0.157
K01990,-0.389
K03436,-0.07400000000000001
K00040,-0.47700000000000004
K00847,0.261
K17320,-2.128
K07192,0.099
K00432,-0.7959999999999999
K03737,-0.163
K07483,-0.536
K03549,-0.156
K01834,0.092
K15738,-0.159
K01938,0.8320000000000001
K03976,-0.099
K07560,-0.743
K01641,0.071
K03216,0.907
K01890,0.10800000000000001
K01183,-1.385
K03686,-0.326
K01661,0.23199999999999998
K19577,-0.449
K01738,-0.708
K00674,0.311
K16137,-0.284
K01531,-0.261
K01652,0.782
K10441,-0.35700000000000004
K02004,1.228
K01261,0.19
K00031,-0.7829999999999999
K16787,0.5670000000000001
K01633,0.113
K16789,-0.11699999999999999
K01235,-1.34
K03321,-0.085
K03531,0.094
K19267,0.175
K00931,0.309
K01580,-1.045
K02240,
K07030,-0.562
K03111,-0.067
K00657,-0.11
K02030,-0.5429999999999999
K00817,-0.728
K12997,0.198
K05340,-0.218
K03975,1.2670000000000001
K01160,-0.5660000000000001
K01005,0.433
K09775,-0.42200000000000004
K02529,0.098
K03571,0.16899999999999998
K04083,-0.042
K06925,-0.049
K01992,-0.387
K02440,0.051
K09817,0.41200000000000003
K02030,0.446
K06183,-0.345
K03703,-0.037000000000000005
K03553,0.021
K06181,-0.34700000000000003
K01703,-0.19699999999999998
K06200,-0.038
K02242,-1.3219999999999998
K13953,-0.597
K07816,0.026000000000000002
K18929,0.10800000000000001
K05879,-0.111
K21636,-0.098
K07483,-0.7509999999999999
K00973,0.23399999999999999
K01176,-0.45
K00759,0.856
K18889,-0.366
K01304,0.7290000000000001
K01223,-1.196
K01687,0.741
K03293,0.987
K10439,-0.223
K01586,0.257
K03973,1.516
K00975,-0.385
K00975,-0.593
K01215,-0.223
K00691,-0.31
K00661,-0.805
K01740,-1.4040000000000001
K02770,0.047
K10254,-0.741
K07052,-0.34299999999999997
K08177,0.938
K03811,-0.099
K07078,-0.46299999999999997
K07386,0.35
K00930,-0.6920000000000001
K02759,-0.28600000000000003
K01662,-1.052
K02440,0.094
K06960,0.45899999999999996
K01662,-0.11599999999999999
K01625,-0.256
K03086,-0.182
K01926,0.525
K00016,-0.27699999999999997
K03284,-0.39
K03695,-0.223
K00760,2.101
K06950,0.192
K07025,0.603
K03075,0.363
K01101,0.115
K07106,-0.815
K03596,0.263
K01686,-0.361
K07009,0.795
K03183,-0.32899999999999996
K00876,0.28600000000000003
K02000,1.304
K02001,1.374
K02002,1.374
K13256,-0.721
K06217,0.114
K01664,0.14800000000000002
K02115,0.129
K05845,-0.321
K05846,-0.321
K11617,0.439
K03758,0.6859999999999999
K02003,0.583
K16169,1.4509999999999998
K03816,1.493
K05881,-0.035
K03711,-0.228
K19005,0.828
K03293,0.111
K07173,-0.068
K01953,0.853
K03595,0.493
K07816,-0.018000000000000002
K00858,0.09
K05878,-0.023
K03685,0.9179999999999999
K02837,0.539
K03544,0.08900000000000001
K10823,-0.203
K03978,0.26
K06958,-0.159
K06131,-0.09
K00948,0.325
K01869,0.149
K15583,-0.11199999999999999
K11072,0.128
K09816,0.615
K11071,0.094
K16785,0.39299999999999996
K11070,-0.139
K11069,-0.03
K00845,0.49200000000000005
K04047,-0.21
K02913,0.841
K02911,1.636
K15582,-0.055999999999999994
K00611,0.934
K07478,0.185
K02621,0.745
K02342,0.221
K02622,0.519
K03798,0.225
K06191,-0.321
K02687,-0.001
K03647,0.141
K00525,-0.318
K01139,0.6679999999999999
K00526,-0.259
K15580,-0.294
K00760,0.134
K03723,-0.33899999999999997
K03294,0.624
K00655,0.9990000000000001
K01056,-0.17300000000000001
K06942,0.674
K02338,0.02
K02313,0.222
K09747,-0.225
K01929,0.579
K03621,0.012
K08153,0.435
K03218,0.14800000000000002
K05847,-0.321
K03590,0.139
K01867,0.042
K01775,0.57
K00997,0.632
K01439,0.915
K06153,0.195
K02990,0.765
K01870,-0.191
K03111,0.486
K02358,0.446
K02963,0.574
K00948,0.175
K00962,0.5720000000000001
K00640,0.41
K03800,-0.187
K00851,-0.18
K00161,0.006
K00162,-0.249
K02440,1.013
K03495,0.619
K00382,-0.27
K03584,0.149
K00841,0.071
K06187,0.667
K01756,0.9590000000000001
K03671,0.011000000000000001
K07456,-0.23
K09698,-0.125
K02529,0.311
K01271,0.9329999999999999
K07444,0.257
K07146,0.384
K01575,-0.467
K03168,0.619
K04094,0.385
K03386,-0.287
K02959,0.322
K02564,-0.22
K01893,0.447
K07568,0.878
K09787,-0.011000000000000001
K03979,0.55
K04751,4.245
K03320,4.796
K02887,0.396
K02916,0.5529999999999999
K02520,0.35600000000000004
K01834,0.248
K03710,-0.079
K01619,-0.16399999999999998
K00867,-0.042
K03601,0.289
K03768,-0.034
K02909,1.86
K03523,0.887
K05837,0.318
K02073,-1.5190000000000001
K02073,-1.5019999999999998
K02073,-1.524
K11733,0.36700000000000005
K01696,-0.262
K02071,-1.2590000000000001
K02072,-1.138
K08968,0.408
K01915,3.801
K07729,-0.263
K09765,-0.23
K02015,0.204
K02015,-0.223
K03713,3.815
K01537,-0.142
K03551,0.32799999999999996
K00625,0.002
K03550,0.524
K00766,-0.135
K03555,-0.187
K07090,-0.183
K00036,0.373
K02794,-0.034
K07015,0.18100000000000002
K17810,0.039
K01953,0.113
K01955,1.041
K03570,-0.12300000000000001
K14983,-0.284
K03574,0.797
K02795,0.569
K02796,0.009000000000000001
K00016,0.39299999999999996
K02968,0.72
K01839,-0.16899999999999998
K01803,0.168
K03784,-0.031
K07273,0.13699999999999998
K01493,0.606
K02030,0.94
K01624,0.111
K02028,0.24
K00384,-0.128
K00364,1.355
K03650,0.597
K01875,-0.303
K03655,-0.496
K07166,0.536
K06193,0.055
K01821,0.426
K00574,-0.177
K00789,-0.281
K03705,-0.27
K03687,-0.37200000000000005
K04043,-0.34700000000000003
K01598,0.289
K18682,0.057999999999999996
K01958,0.21899999999999997
K03588,0.083
K00942,0.40399999999999997
K02913,-3.2239999999999998
K03060,0.34
K07139,0.21899999999999997
K06890,-0.267
K02355,0.75
K18928,0.25
K09685,0.248
K00656,-0.122
K12555,0.348
K02871,0.8759999999999999
K03073,0.129
K02601,0.177
K02996,0.897
K03217,0.8490000000000001
K03282,-0.331
K02946,0.878
K01889,0.11900000000000001
K01951,0.37799999999999995
K02886,0.516
K02965,0.5379999999999999
K02890,0.196
K01258,0.005
