OG	sample_2B
OG810	1564.0
OG811	5245.0
OG812	999.0
OG813	652.0
OG814	91.0
OG815	2574.0
OG816	1883.0
OG817	684.0
OG818	409.0
OG819	1633.0
OG820	944.0
OG821	1615.0
OG822	1170.0
OG823	4289.0
OG824	13.0
OG825	7541.0
OG826	562.0
OG827	443.0
OG828	4835.0
OG829	249.0
OG830	82.0
OG831	3038.0
OG832	886.0
OG833	10.0
OG834	449.0
OG835	3101.0
OG836	454.0
OG837	3345.0
OG840	1616.0
OG841	1548.0
OG842	1951.0
OG843	1165.0
OG844	2927.0
OG845	400.0
OG846	61061.0
OG847	155.0
OG862	944.0
OG863	1003.0
OG864	850.0
OG865	3766.0
OG866	17181.0
OG867	1033.0
OG868	156.0
OG871	60.0
OG872	980.0
OG873	551.0
OG874	1823.0
OG875	7944.0
OG876	1456.0
OG877	2086.0
OG878	2988.0
OG879	15644.0
OG880	54.0
OG881	1118.0
OG882	256.0
OG883	21059.0
OG884	654.0
OG885	2368.0
OG886	32.0
OG887	1222.0
OG888	211.0
OG889	383.0
OG897	921.0
OG898	10498.0
OG899	1437.0
OG905	1514.0
OG906	10070.0
OG907	140.0
OG908	1348.0
OG909	333.0
OG910	5065.0
OG911	151.0
OG912	14346.0
OG913	95.0
OG914	3648.0
OG915	9073.0
OG916	1048.0
OG922	4239.0
OG923	21.0
OG924	4574.0
OG925	135.0
OG926	1263.0
OG931	499.0
OG945	3627.0
OG946	88.0
OG948	880.0
OG949	353.0
OG950	26.0
OG954	139.0
OG963	15889.0
OG964	1920.0
OG977	330.0
OG983	99.0
OG984	29.0
OG998	1116.0
OG1001	13987.0
OG1002	733.0
OG1004	2315.0
OG1005	3017.0
OG1006	5159.0
OG1007	3113.0
OG1008	971.0
OG1009	1374.0
OG1010	1450.0
OG1011	2703.0
OG1012	161.0
OG1013	49623.0
OG1014	230.0
OG1015	877.0
OG1016	1258.0
OG1017	2201.0
OG1018	2741.0
OG1019	216.0
OG1020	5173.0
OG1021	3629.0
OG1022	208.0
OG1023	2239.0
OG1024	7873.0
OG1025	17.0
OG1026	3435.0
OG1027	275.0
OG1039	275.0
OG1040	1303.0
OG1041	17319.0
OG1042	847.0
OG1054	6736.0
OG1059	1609.0
OG1060	2705.0
OG1061	757.0
OG1062	372.0
OG1063	666.0
OG1064	74.0
OG1075	930.0
OG1076	2156.0
OG1077	3874.0
OG1078	930.0
OG1079	116.0
OG1119	26.0
OG1160	4496.0
OG1161	524.0
OG1162	3253.0
OG1163	1761.0
OG1164	82.0
OG1165	4905.0
OG1166	999.0
OG1167	430.0
OG1168	796.0
OG1169	1452.0
OG1170	2258.0
OG1171	1057.0
OG1172	543.0
OG1173	1501.0
OG1174	364.0
OG1175	2497.0
