Id,log2FoldChange.minus5614vsAll
OG1772,-0.875
OG1773,0.263
OG1777,-0.605
OG1778,-0.878
OG1779,0.371
OG1781,0.301
OG1789,-0.21600000000000003
OG1795,0.039
OG1798,-1.083
OG1799,-0.003
OG1803,0.731
OG1810,0.235
OG1812,-0.251
OG1818,0.541
OG1819,0.40700000000000003
OG1826,-0.10099999999999999
OG183,-5.226
OG1867,0.431
OG1936,-0.155
OG195,-0.961
OG196,1.2309999999999999
OG1976,-0.48100000000000004
OG1988,0.16
OG2013,0.064
OG2017,0.221
OG2018,0.705
OG2020,0.514
OG2021,0.0
OG2022,0.063
OG2034,0.158
OG2037,0.223
OG2038,0.33899999999999997
OG2039,0.402
OG204,0.08900000000000001
OG2040,-0.473
OG2048,0.32799999999999996
OG2063,0.5660000000000001
OG2064,0.019
OG2065,0.5489999999999999
OG2066,0.401
OG2068,0.465
OG2069,0.29
OG2070,0.11699999999999999
OG2071,0.36700000000000005
OG2073,0.342
OG2075,-1.824
OG2095,-0.231
OG2096,0.18899999999999997
OG2113,-0.1
OG213,0.17600000000000002
OG2156,-0.451
OG2163,0.024
OG2209,-0.109
OG2215,0.22399999999999998
OG231,0.659
OG242,0.061
OG243,0.36700000000000005
OG244,0.426
OG245,0.096
OG2700,0.146
OG2717,0.23
OG273,0.315
OG2782,0.365
OG2800,-1.217
OG2838,0.075
OG2839,0.11199999999999999
OG2862,-0.23600000000000002
OG2921,-0.057999999999999996
OG2973,0.402
OG2976,0.314
OG2991,0.095
OG3026,-0.133
OG304,0.623
OG3045,-0.345
OG305,-0.18899999999999997
OG306,-1.537
OG310,-0.733
OG336,-0.091
OG342,-0.475
OG349,-2.4530000000000003
OG356,-0.93
OG36,0.21100000000000002
OG3607,0.318
OG361,-0.013999999999999999
OG369,-0.639
OG370,0.39799999999999996
OG371,-0.382
OG372,-0.09
OG373,-0.114
OG374,-0.135
OG375,-0.645
OG376,-0.161
OG377,-0.42
OG378,-0.628
OG379,0.026000000000000002
OG380,-1.021
OG381,-0.684
OG382,-0.259
OG383,-0.174
OG384,-0.731
OG385,-0.092
OG386,-0.6609999999999999
OG387,-2.069
OG388,-1.124
OG389,-2.293
OG39,-0.499
OG390,-0.35200000000000004
OG391,-0.7340000000000001
OG392,0.305
OG393,0.613
OG394,-0.256
OG395,0.281
OG396,-0.35100000000000003
OG397,0.10400000000000001
OG398,0.184
OG399,-0.747
OG400,-0.142
OG401,-0.134
OG402,0.297
OG403,-0.152
OG404,-0.294
OG405,-0.39799999999999996
OG406,0.071
OG407,0.252
OG408,0.126
OG409,-0.894
OG410,-0.877
OG4100,0.29
OG411,0.031
OG412,-1.956
OG413,-0.046
OG414,0.039
OG415,0.24600000000000002
OG416,-0.07400000000000001
OG417,0.47
OG418,-0.157
OG419,0.027000000000000003
OG420,0.087
OG421,-1.176
OG422,0.365
OG423,-0.622
OG424,0.327
OG425,0.297
OG426,-0.003
OG427,-0.254
OG428,0.35700000000000004
OG429,-0.716
OG430,-0.156
OG4300,0.46
OG431,0.05
OG432,-0.262
OG433,0.061
OG434,-0.381
OG435,-0.174
OG4357,0.581
OG436,0.228
OG437,-0.287
OG438,0.07
OG439,-0.122
OG440,-0.091
OG441,0.198
OG4416,0.318
OG442,0.166
OG443,-0.306
OG444,-0.177
OG4442,0.698
OG445,-0.405
OG446,0.337
OG4461,-0.145
OG447,-0.086
OG448,-0.7440000000000001
OG449,0.163
OG450,0.159
OG451,-0.039
OG452,-0.204
OG453,0.633
OG454,-0.9359999999999999
OG455,-0.863
OG456,0.319
OG457,0.39399999999999996
OG458,0.281
OG459,-0.42100000000000004
OG460,-1.047
OG461,0.021
OG462,-1.109
OG463,-0.16
OG464,-0.882
OG465,0.154
OG466,0.37
OG467,-0.428
OG468,0.442
OG469,-0.7829999999999999
OG470,-1.06
OG471,0.39399999999999996
OG472,0.085
OG473,0.40700000000000003
OG474,-1.254
OG475,-0.23800000000000002
OG476,-1.7830000000000001
OG477,-0.011000000000000001
OG478,0.321
OG479,0.156
OG480,-0.18600000000000003
OG481,0.005
OG482,0.019
OG483,0.23
OG484,-0.621
OG485,-2.296
OG486,0.249
OG487,0.24
OG488,0.37
OG489,-0.161
OG490,0.08
OG491,0.078
OG492,-0.114
OG493,-0.07200000000000001
OG494,0.057999999999999996
OG495,-0.299
OG496,0.17600000000000002
OG497,-0.525
OG498,-0.502
OG499,-0.355
OG500,-0.377
OG501,-0.11800000000000001
OG502,0.373
OG503,-0.47100000000000003
OG504,-0.13
OG505,0.124
OG506,-0.215
OG507,0.418
OG508,0.212
OG509,0.161
OG510,0.03
OG511,-0.585
OG512,0.265
OG513,-0.013000000000000001
OG514,0.261
OG515,0.38299999999999995
OG516,-0.09699999999999999
OG517,0.387
OG518,-0.7709999999999999
OG519,-0.551
OG520,-0.98
OG521,0.171
OG522,0.128
OG523,-0.43799999999999994
OG524,0.064
OG525,0.067
OG526,-0.376
OG527,-1.645
OG528,-0.012
OG529,-0.159
OG530,0.177
OG531,0.39399999999999996
OG532,-0.054000000000000006
OG533,0.662
OG534,-0.29100000000000004
OG535,0.586
OG536,-0.132
OG537,0.295
OG538,0.14800000000000002
OG539,0.389
OG540,-1.169
OG541,-0.508
OG542,-0.308
OG543,0.34
OG544,-0.366
OG545,0.155
OG546,-1.59
OG547,-0.39
OG548,-0.094
OG549,-0.07
OG550,-0.205
OG551,0.051
OG552,0.298
OG553,0.49700000000000005
OG554,-0.715
OG555,-0.374
OG556,0.195
OG557,-0.254
OG558,0.165
OG559,-0.617
OG560,-1.3359999999999999
OG561,0.0
OG562,0.20800000000000002
OG563,-0.579
OG564,-0.193
OG565,0.049
OG566,0.012
OG567,0.474
OG568,-0.5479999999999999
OG569,-0.102
OG570,0.879
OG571,-0.011000000000000001
OG572,-0.19399999999999998
OG573,0.341
OG574,0.254
OG575,0.23800000000000002
OG576,0.42700000000000005
OG577,-0.04
OG578,0.154
OG579,-0.73
OG58,-0.21
OG580,0.14800000000000002
OG581,0.231
OG582,-0.473
OG583,0.344
OG584,-0.106
OG585,-0.597
OG586,-1.235
OG587,-0.7120000000000001
OG588,0.027999999999999997
OG589,0.152
OG590,0.7290000000000001
OG591,1.033
OG592,0.47
OG593,0.743
OG594,0.248
OG595,0.5820000000000001
OG596,-0.247
OG597,0.26899999999999996
OG598,-0.28600000000000003
OG599,1.072
OG600,-0.18
OG601,0.382
OG602,0.102
OG603,-0.021
OG604,0.5760000000000001
OG605,0.34700000000000003
OG606,0.943
OG607,0.8420000000000001
OG608,-0.4
OG609,-0.489
OG610,-0.326
OG611,-0.306
OG612,-0.364
OG613,0.193
OG614,-0.385
OG615,-0.016
OG616,0.254
OG617,0.315
OG618,0.12
OG619,0.084
OG620,0.025
OG621,0.133
OG622,-0.09699999999999999
OG623,-0.233
OG624,0.036000000000000004
OG625,-0.27899999999999997
OG626,0.03
OG627,-0.5329999999999999
OG628,-0.134
OG629,-0.015
OG630,-0.047
OG631,0.27
OG632,-0.26899999999999996
OG633,0.44799999999999995
OG634,0.485
OG635,0.10099999999999999
OG636,0.163
OG637,0.311
OG638,0.034
OG639,0.203
OG640,0.048
OG641,-0.08
OG642,0.35
OG643,-0.083
OG644,0.639
OG645,-0.384
OG646,0.295
OG647,0.271
OG648,-0.127
OG649,-1.3630000000000002
OG650,1.092
OG651,0.078
OG652,0.024
OG653,-0.231
OG654,-0.373
OG655,-0.203
OG656,0.256
OG657,0.23600000000000002
OG658,-0.924
OG659,-1.66
OG660,-0.081
OG661,0.23
OG662,-0.6759999999999999
OG663,0.113
OG664,-0.327
OG665,0.057
OG666,-2.843
OG667,-0.134
OG668,-1.3459999999999999
OG669,-0.213
OG670,-0.344
OG671,0.289
OG672,-0.247
OG673,-0.76
OG674,-0.34299999999999997
OG675,0.396
OG676,0.262
OG677,0.36
OG678,0.198
OG679,0.48700000000000004
OG680,-0.718
OG681,-0.205
OG682,0.248
OG683,-0.14300000000000002
OG684,-0.11800000000000001
OG685,0.133
OG686,0.485
OG687,-0.022000000000000002
OG688,-0.40700000000000003
OG689,-0.579
OG690,-0.595
OG691,-0.021
OG692,-0.247
OG693,0.39299999999999996
OG694,-0.111
OG695,-0.031
OG696,-0.188
OG697,0.125
OG698,-0.35600000000000004
OG699,-0.078
OG700,-0.024
OG701,-0.608
OG702,0.003
OG703,0.15
OG704,-0.201
OG705,-0.698
OG706,-0.018000000000000002
OG707,0.12300000000000001
OG708,0.18600000000000003
OG709,0.10300000000000001
OG710,-0.307
OG711,-0.6679999999999999
OG712,-0.5920000000000001
OG713,0.127
OG714,-0.644
OG715,-1.1420000000000001
OG716,-0.01
OG717,0.466
OG718,0.257
OG719,0.174
OG720,0.34700000000000003
OG721,0.07
OG722,-0.36200000000000004
OG723,0.536
OG724,0.124
OG725,-0.767
OG726,-0.165
OG727,-1.915
OG728,0.342
OG729,0.539
OG730,0.299
OG731,-0.055
OG732,-1.0590000000000002
OG733,0.11699999999999999
OG734,-0.672
OG735,0.441
OG736,-0.012
OG737,0.256
OG738,-1.208
OG739,-0.033
OG740,-0.282
OG741,0.6559999999999999
OG742,-3.068
OG743,0.615
OG744,0.257
OG745,0.203
OG746,0.03
OG747,0.042
OG748,-3.0060000000000002
OG749,-0.233
OG750,0.18600000000000003
OG751,0.142
OG752,-0.098
OG753,0.39
OG754,0.711
OG755,0.51
OG757,0.318
OG758,-0.235
OG759,-2.508
OG760,-0.342
OG761,0.174
OG762,0.122
OG763,0.14
OG764,0.136
OG765,-0.013999999999999999
OG766,-0.033
OG767,0.376
OG768,-2.349
OG769,0.047
OG770,0.2
OG771,0.021
OG772,0.217
OG773,-0.045
OG775,0.063
OG776,-0.345
OG784,0.166
OG785,-0.154
OG786,-0.985
OG787,-0.45299999999999996
OG789,0.35100000000000003
OG798,-0.08800000000000001
OG799,-0.226
OG800,0.026000000000000002
OG801,0.013000000000000001
OG802,0.044000000000000004
OG803,-0.935
OG804,0.01
OG805,-0.263
OG806,0.146
OG807,0.09300000000000001
OG808,-0.073
OG809,-0.32899999999999996
OG810,-0.507
OG811,-2.481
OG812,0.505
OG813,0.046
OG814,0.5589999999999999
OG815,-0.039
OG816,0.386
OG817,-1.439
OG818,-2.659
OG819,-0.272
OG820,0.446
OG821,-0.32
OG822,0.47100000000000003
OG823,0.278
OG824,-3.516
OG825,0.20800000000000002
OG826,0.172
OG827,0.18600000000000003
OG828,-0.37
OG829,-1.0
OG830,0.11199999999999999
OG831,0.17800000000000002
OG832,1.09
OG833,1.95
OG834,-0.34299999999999997
OG835,0.265
OG836,0.38799999999999996
OG837,0.5589999999999999
OG840,0.13699999999999998
OG841,-0.142
OG842,0.141
OG843,0.337
OG844,-0.337
OG845,0.322
OG846,0.294
OG847,-0.8079999999999999
OG862,-0.145
OG863,0.287
OG864,-0.255
OG865,-0.217
OG866,0.892
OG867,0.4
OG868,-1.307
OG871,-1.07
OG872,0.013000000000000001
OG873,0.096
OG874,0.11199999999999999
OG875,0.0
OG876,0.078
OG877,-0.708
OG878,-0.831
OG879,0.32899999999999996
OG880,0.055999999999999994
OG881,0.22399999999999998
OG882,-0.701
OG883,0.292
OG884,-0.49700000000000005
OG885,-0.045
OG886,-0.032
OG887,0.33
OG888,-0.413
OG889,-0.068
OG897,-1.128
OG898,-0.342
OG899,0.18899999999999997
OG905,0.094
OG906,0.534
OG907,-0.755
OG908,-0.46399999999999997
OG909,-0.7909999999999999
OG910,0.062
OG911,0.237
OG912,0.289
OG913,-2.283
OG914,-0.807
OG915,-0.46399999999999997
OG916,0.488
OG922,0.057
OG923,-0.396
OG924,-0.723
OG925,-2.134
OG926,-0.142
OG931,-0.384
OG945,0.037000000000000005
OG946,-1.121
OG948,0.121
OG949,0.129
OG950,0.203
OG954,-0.17600000000000002
OG963,0.062
OG964,-0.098
OG977,0.461
OG983,0.565
OG984,-0.19699999999999998
OG998,0.147
