OG	sample_3A
OG1344	31459.0
OG1345	4114.0
OG1346	203.0
OG1347	1189.0
OG1348	15910.0
OG1349	21418.0
OG1350	4070.0
OG1351	162.0
OG1352	8528.0
OG1353	564.0
OG1354	1279.0
OG1355	189.0
OG1356	4435.0
OG1357	59346.0
OG1358	1758.0
OG1359	2434.0
OG1360	7144.0
OG1361	197.0
OG1362	8758.0
OG1363	1600.0
OG1364	5618.0
OG1365	2836.0
OG1366	747.0
OG1367	295.0
OG1368	61.0
OG1369	1538.0
OG1370	21677.0
OG1371	25845.0
OG1372	9552.0
OG1373	15702.0
OG1374	65385.0
OG1375	53.0
OG1376	201.0
OG1377	23463.0
OG1378	13284.0
OG1379	5055.0
OG1380	1789.0
OG1381	0.0
OG1382	3.0
OG1383	908.0
OG1384	1090.0
OG1385	8635.0
OG1386	29642.0
OG1387	3774.0
OG1388	1660.0
OG1389	1842.0
OG1390	8601.0
OG1391	223.0
OG1392	519.0
OG1393	3740.0
OG1394	9667.0
OG1395	6024.0
OG1396	1413.0
OG1397	1277.0
OG1398	2957.0
OG1399	2105.0
OG1400	2183.0
OG1401	5831.0
OG1402	517.0
OG1403	6687.0
OG1404	9976.0
OG1405	20438.0
OG1406	6295.0
OG1407	14512.0
OG1408	14317.0
OG1409	21401.0
OG1410	1444.0
OG1411	5318.0
OG1412	2334.0
OG1413	588.0
OG1414	7167.0
OG1415	633.0
OG1416	4054.0
OG1417	5278.0
OG1418	1918.0
OG1419	243.0
OG1420	11328.0
OG1421	3349.0
OG1422	331.0
OG1423	5578.0
OG1424	5917.0
OG1425	15233.0
OG1426	7990.0
OG1427	2712.0
OG1428	6282.0
OG1429	1216.0
OG1430	3447.0
OG1431	4326.0
OG1432	1772.0
OG1433	3155.0
OG1434	539.0
OG1435	1156.0
OG1436	1427.0
OG1437	7857.0
OG1438	99.0
OG1439	571.0
OG1440	3636.0
OG1441	19215.0
OG1442	14902.0
OG1443	51.0
OG1444	3116.0
OG1445	2732.0
OG1446	2254.0
OG1447	7318.0
OG1448	143.0
OG1449	352.0
OG1450	51.0
OG1451	3957.0
OG1452	1119.0
OG1453	1059.0
OG1454	936.0
OG1455	915.0
OG1456	561.0
OG1457	1009.0
OG1458	6247.0
OG1459	1480.0
OG1460	2792.0
OG1461	1427.0
OG1462	4362.0
OG1463	5639.0
OG1464	694.0
OG1465	20990.0
OG1466	8103.0
OG1467	1096.0
OG1468	940.0
OG1469	544.0
OG1470	34809.0
OG1471	2012.0
OG1472	131.0
OG1473	78.0
OG1474	856.0
OG1475	1224.0
OG1476	35051.0
OG1477	1695.0
OG1478	1095.0
OG1479	13557.0
OG1480	1358.0
OG1481	1748.0
OG1482	2053.0
OG1483	1310.0
OG1484	2822.0
OG1485	1949.0
OG1486	7960.0
OG1487	6314.0
OG1488	9083.0
OG1489	8257.0
OG1490	10303.0
OG1491	283.0
OG1492	26133.0
OG1493	1139.0
OG1494	3650.0
OG1495	45.0
OG1496	89.0
OG1497	2450.0
OG1498	1526.0
OG1499	558.0
OG1500	5093.0
OG1501	20.0
OG1502	795.0
OG1503	16992.0
OG1504	1145.0
OG1505	5102.0
OG1506	2280.0
OG1507	70361.0
OG1508	2057.0
OG1509	6545.0
OG1510	80.0
OG1511	888.0
OG1512	145.0
OG1513	575.0
OG1514	587.0
OG1515	1153.0
OG1516	2871.0
OG1517	1182.0
OG1518	5979.0
OG1519	1105.0
OG1520	2622.0
OG1521	5975.0
OG1522	2533.0
OG1523	9569.0
OG1524	9385.0
OG1525	2145.0
OG1526	418.0
OG1527	308.0
OG1528	4607.0
OG1529	2249.0
OG1530	5379.0
