OG	sample_6B
OG852	6.0
OG853	0.0
OG854	38.0
OG855	0.0
OG856	59.0
OG857	2.0
OG858	73.0
OG859	116.0
OG860	1.0
OG861	156.0
OG862	699.0
OG863	593.0
OG864	563.0
OG865	1361.0
OG866	5244.0
OG867	471.0
OG868	43.0
OG869	0.0
OG870	122.0
OG871	79.0
OG872	848.0
OG873	238.0
OG874	1286.0
OG875	4973.0
OG876	1327.0
OG877	1442.0
OG878	2568.0
OG879	9653.0
OG880	16.0
OG881	469.0
OG882	210.0
OG883	7037.0
OG884	511.0
OG885	1337.0
OG886	20.0
OG887	314.0
OG888	261.0
OG889	324.0
OG890	161.0
OG891	232.0
OG892	85.0
OG893	35.0
OG894	5.0
OG895	2613.0
OG896	54.0
OG897	568.0
OG898	10072.0
OG899	700.0
OG900	128.0
OG901	520.0
OG902	571.0
OG903	61.0
OG904	0.0
OG905	1044.0
OG906	5133.0
OG907	185.0
OG908	1130.0
OG909	184.0
OG910	2784.0
OG911	82.0
OG912	8335.0
OG913	98.0
OG914	1855.0
OG915	6191.0
OG916	543.0
OG917	45426.0
OG918	7.0
OG919	157.0
OG920	53.0
OG921	116.0
OG922	4380.0
OG923	14.0
OG924	6036.0
OG925	124.0
OG926	1348.0
OG927	6.0
OG928	1.0
OG929	65.0
OG930	85.0
OG931	340.0
OG932	11.0
OG933	95.0
OG934	5.0
OG935	39.0
OG936	0.0
OG937	1.0
OG938	1.0
OG939	2.0
OG940	0.0
OG941	0.0
OG942	7.0
OG943	48.0
OG944	51.0
OG945	3411.0
OG946	92.0
OG947	125.0
OG948	846.0
OG949	154.0
OG950	33.0
OG951	1334.0
OG952	2.0
OG953	0.0
OG954	65.0
OG955	39.0
OG956	3.0
OG957	83.0
OG958	0.0
OG959	0.0
OG960	0.0
OG961	18.0
OG962	54.0
OG963	10827.0
OG964	1167.0
OG965	4.0
OG966	73.0
OG967	0.0
OG968	4.0
OG969	2.0
OG970	512.0
OG971	1135.0
OG972	19.0
OG973	2653.0
OG974	10.0
OG975	0.0
OG976	0.0
OG977	228.0
OG978	6.0
OG979	0.0
OG980	203.0
OG981	0.0
OG982	2.0
OG983	55.0
OG984	30.0
OG985	0.0
