OG	sample_6C
OG910	4029.0
OG911	76.0
OG912	11638.0
OG913	162.0
OG914	3258.0
OG915	9118.0
OG916	817.0
OG917	75179.0
OG918	15.0
OG919	244.0
OG920	71.0
OG921	172.0
OG922	5503.0
OG923	24.0
OG924	8969.0
OG925	166.0
OG926	1771.0
OG927	7.0
OG928	0.0
OG929	104.0
OG930	124.0
OG931	489.0
OG932	23.0
OG933	216.0
OG934	11.0
OG935	72.0
OG936	2.0
OG937	0.0
OG938	0.0
OG939	1.0
OG940	0.0
OG941	0.0
OG942	3.0
OG943	75.0
OG944	67.0
OG945	4300.0
OG946	136.0
OG947	231.0
OG948	1134.0
OG949	233.0
OG950	43.0
OG951	1915.0
OG952	1.0
OG953	0.0
OG954	110.0
OG955	38.0
OG956	10.0
OG957	91.0
OG958	0.0
OG959	0.0
OG960	0.0
OG961	43.0
OG962	68.0
OG963	14840.0
OG964	1626.0
OG965	6.0
OG966	115.0
OG967	0.0
OG968	8.0
OG969	1.0
OG970	682.0
OG971	1744.0
OG972	31.0
OG973	5425.0
OG974	13.0
OG975	0.0
OG976	0.0
OG977	236.0
OG978	11.0
OG979	0.0
OG980	334.0
OG981	1.0
OG982	5.0
OG983	69.0
OG984	57.0
OG985	0.0
OG986	63.0
OG987	0.0
OG988	0.0
OG989	1277.0
OG990	0.0
OG991	5.0
OG992	265.0
OG993	26.0
OG994	145.0
OG995	525.0
OG996	51.0
OG997	197.0
OG998	1010.0
OG999	7.0
OG1000	608.0
OG1001	12480.0
OG1002	326.0
OG1003	17.0
OG1004	2525.0
OG1005	2815.0
OG1006	3158.0
OG1007	1092.0
OG1008	625.0
OG1009	1651.0
OG1010	876.0
OG1011	2607.0
OG1012	210.0
OG1013	30604.0
OG1014	125.0
OG1015	835.0
OG1016	1469.0
OG1017	2646.0
OG1018	3518.0
OG1019	165.0
OG1020	3453.0
OG1021	4076.0
OG1022	392.0
OG1023	2276.0
OG1024	9667.0
OG1025	14.0
OG1026	3767.0
OG1027	286.0
OG1028	139.0
OG1029	1.0
OG1030	8.0
OG1031	5.0
OG1032	36.0
OG1033	19.0
OG1034	79.0
OG1035	4598.0
OG1036	18.0
OG1037	1.0
OG1038	75.0
OG1039	236.0
OG1040	970.0
OG1041	19376.0
OG1042	616.0
OG1043	7.0
OG1044	0.0
OG1045	0.0
OG1046	1.0
OG1047	2126.0
OG1048	13.0
OG1049	778.0
OG1050	54.0
OG1051	3.0
OG1052	2.0
OG1053	85.0
OG1054	5993.0
OG1055	168.0
OG1056	661.0
OG1057	37.0
OG1058	0.0
OG1059	1602.0
OG1060	2868.0
OG1061	1027.0
OG1062	345.0
OG1063	425.0
OG1064	30.0
OG1065	270.0
OG1066	42.0
OG1067	74.0
OG1068	1.0
OG1069	6.0
OG1070	67.0
OG1071	822.0
OG1072	90.0
OG1073	229.0
OG1074	878.0
OG1075	689.0
OG1076	1592.0
OG1077	3377.0
OG1078	229.0
OG1079	123.0
OG1080	1717.0
OG1081	134.0
OG1082	81.0
OG1083	48.0
OG1084	1571.0
OG1085	16.0
OG1086	2.0
OG1087	1088.0
OG1088	1518.0
OG1089	91.0
OG1090	25.0
OG1091	9094.0
OG1092	2766.0
OG1093	2247.0
OG1094	336.0
OG1095	94.0
OG1096	2522.0
OG1097	12.0
OG1098	6933.0
OG1099	442.0
OG1100	1119.0
OG1101	834.0
OG1102	1685.0
OG1103	11230.0
OG1104	85.0
OG1105	463.0
OG1106	1351.0
OG1107	53.0
OG1108	1000.0
OG1109	1898.0
OG1110	305.0
OG1111	2653.0
OG1112	31.0
OG1113	229.0
OG1114	8130.0
OG1115	254.0
OG1116	28.0
OG1117	929.0
OG1118	285.0
OG1119	18.0
OG1120	485.0
OG1121	298.0
OG1122	18661.0
OG1123	1071.0
OG1124	5239.0
OG1125	258.0
OG1126	512.0
OG1127	33.0
OG1128	1908.0
OG1129	42.0
OG1130	6610.0
OG1131	96.0
OG1132	702.0
OG1133	461.0
