Id,log2FoldChange.minusSICOvsAll
OG1679,0.324
OG168,-0.267
OG1680,-0.138
OG1681,0.05
OG1682,0.16699999999999998
OG1683,0.514
OG1684,-0.24100000000000002
OG1685,-0.14400000000000002
OG1686,0.004
OG1687,0.512
OG1688,0.228
OG1689,0.33799999999999997
OG169,-0.9440000000000001
OG1690,0.22399999999999998
OG1691,1.1320000000000001
OG1692,-0.861
OG1693,-0.281
OG1694,0.12300000000000001
OG1695,0.057
OG1696,-0.475
OG1697,1.025
OG1698,0.907
OG1699,1.033
OG17,
OG170,-0.086
OG1700,0.995
OG1701,-0.596
OG1702,0.87
OG1703,0.175
OG1704,0.8190000000000001
OG1705,0.23600000000000002
OG1706,0.069
OG1707,0.048
OG1708,-0.47200000000000003
OG1709,-0.001
OG171,-0.478
OG1710,0.354
OG1711,0.461
OG1712,-0.505
OG1713,-0.027999999999999997
OG1714,0.095
OG1715,-0.21899999999999997
OG1716,-0.215
OG1717,0.491
OG1718,0.991
OG1719,-0.006999999999999999
OG172,-0.035
OG1720,0.33899999999999997
OG1721,0.122
OG1722,0.927
OG1723,0.396
OG1724,0.9740000000000001
OG1725,0.425
OG1726,0.304
OG1727,-0.251
OG1728,-3.426
OG1729,-1.8940000000000001
OG173,0.6970000000000001
OG1730,-0.479
OG1731,-0.927
OG1732,0.19899999999999998
OG1733,-0.3
OG1734,0.161
OG1735,-4.508
OG1736,-2.717
OG1737,0.015
OG1738,-0.18100000000000002
OG1739,0.978
OG174,-2.752
OG1740,-0.32
OG1741,0.374
OG1742,-8.69
OG1743,0.20800000000000002
OG1744,0.261
OG1745,0.032
OG1746,1.337
OG1747,-1.1059999999999999
OG1748,-1.041
OG1749,0.34600000000000003
OG175,-1.607
OG1750,0.084
OG1751,-0.272
OG1752,2.681
OG1753,-0.941
OG1754,0.191
OG1755,0.0
OG1756,-0.531
OG1757,0.161
OG1758,-0.135
OG1759,-0.22899999999999998
OG176,-0.512
OG1760,0.384
OG1761,-0.08
OG1762,0.049
OG1763,-0.052000000000000005
OG1764,-0.528
OG1765,0.087
OG1766,-0.302
OG1767,-2.7
OG1768,-7.645
OG1769,-0.24100000000000002
OG177,-0.174
OG1770,0.046
OG1771,-1.189
OG1772,-0.14800000000000002
OG1773,0.321
OG1774,-0.797
OG1775,-0.467
OG1776,-3.0860000000000003
OG1777,0.307
OG1778,0.248
OG1779,0.392
OG178,-0.716
OG1780,-1.7530000000000001
OG1781,0.583
OG1782,-0.7759999999999999
OG1783,
OG1784,-0.165
OG1785,1.3030000000000002
OG1786,-0.965
OG1787,0.019
OG1788,-2.037
OG1789,0.237
OG179,0.087
OG1790,-2.565
OG1791,-0.981
OG1792,-1.855
OG1793,-0.34600000000000003
OG1794,-4.29
OG1795,0.027000000000000003
OG1796,-2.6830000000000003
OG1797,-2.0909999999999997
