Id,log2FoldChange.minusSTvsAll
OG1664,-0.434
OG1665,-0.221
OG1666,-0.302
OG1667,-0.005
OG1668,-0.33899999999999997
OG1669,-0.321
OG167,0.413
OG1670,0.207
OG1671,0.268
OG1672,0.47100000000000003
OG1673,0.096
OG1674,-0.028999999999999998
OG1675,-0.247
OG1676,0.467
OG1677,-0.042
OG1678,0.467
OG1679,-0.204
OG168,0.278
OG1680,-0.061
OG1681,-0.446
OG1682,-0.45899999999999996
OG1683,0.266
OG1684,0.247
OG1685,-0.10099999999999999
OG1686,-0.038
OG1687,0.171
OG1688,0.065
OG1689,0.049
OG169,0.152
OG1690,0.084
OG1691,1.3869999999999998
OG1692,-0.341
OG1693,-0.07
OG1694,0.096
OG1695,-0.11900000000000001
OG1696,-0.265
OG1697,1.449
OG1698,0.535
OG1699,1.541
OG17,
OG170,0.205
OG1700,1.3940000000000001
OG1701,-1.015
OG1702,0.35700000000000004
OG1703,0.64
OG1704,0.38299999999999995
OG1705,0.332
OG1706,0.084
OG1707,0.267
OG1708,-0.125
OG1709,0.07200000000000001
OG171,-0.7979999999999999
OG1710,-0.048
OG1711,0.192
OG1712,-0.228
OG1713,0.045
OG1714,0.10099999999999999
OG1715,-0.7340000000000001
OG1716,0.04
OG1717,-0.098
OG1718,0.01
OG1719,-0.209
OG172,-1.175
OG1720,0.161
OG1721,0.34
OG1722,0.838
OG1723,2.273
OG1724,2.708
OG1725,0.361
OG1726,0.10800000000000001
OG1727,-0.39399999999999996
OG1728,-0.51
OG1729,-2.072
OG173,0.529
OG1730,-0.578
OG1731,-0.7240000000000001
OG1732,-0.04
OG1733,-0.115
OG1734,0.076
OG1735,-0.887
OG1736,0.369
OG1737,0.306
OG1738,0.3
OG1739,-0.48700000000000004
OG174,-2.123
OG1740,0.039
OG1741,-0.14800000000000002
OG1742,-1.1540000000000001
OG1743,0.13
OG1744,0.884
OG1745,0.34700000000000003
OG1746,0.9740000000000001
OG1747,-0.899
OG1748,-0.455
OG1749,0.08
OG175,-0.611
OG1750,0.743
OG1751,-0.997
OG1752,-0.177
OG1753,-0.81
OG1754,0.32299999999999995
OG1755,0.43799999999999994
OG1756,-0.026000000000000002
OG1757,-0.083
OG1758,-0.16699999999999998
OG1759,0.165
OG176,-0.49
OG1760,-0.33899999999999997
OG1761,-0.20199999999999999
OG1762,0.446
OG1763,-0.654
OG1764,-0.092
OG1765,0.551
OG1766,-0.7090000000000001
OG1767,-3.003
OG1768,-0.44299999999999995
OG1769,-0.222
OG177,-0.21600000000000003
OG1770,-0.787
OG1771,-0.054000000000000006
OG1772,-0.172
OG1773,0.008
OG1774,0.136
OG1775,-0.361
OG1776,0.49200000000000005
OG1777,-0.192
OG1778,-0.153
OG1779,0.35600000000000004
OG178,0.139
OG1780,-0.998
OG1781,0.461
OG1782,-1.61
OG1783,
OG1784,0.501
OG1785,2.276
OG1786,0.237
OG1787,-1.349
OG1788,-2.34
OG1789,-0.033
OG179,0.556
OG1790,-1.081
OG1791,-0.273
OG1792,-1.125
OG1793,-1.113
OG1794,-1.209
OG1795,-0.11
OG1796,-0.145
OG1797,-0.032
OG1798,-0.5429999999999999
OG1799,-0.20199999999999999
OG18,-0.495
OG180,0.494
OG1800,-1.264
OG1801,0.21600000000000003
OG1802,0.244
OG1803,1.431
OG1804,-0.609
OG1805,0.203
OG1806,-1.43
OG1807,-0.589
OG1808,-1.349
OG1809,-0.537
OG181,-0.313
OG1810,-0.231
OG1811,-0.113
OG1812,-0.24600000000000002
OG1813,0.456
OG1814,-0.581
OG1815,-0.65
OG1816,-1.185
OG1817,-0.733
OG1818,0.773
OG1819,0.39299999999999996
OG182,-1.705
OG1820,0.163
OG1821,-0.635
OG1822,-0.6829999999999999
OG1823,-1.597
OG1824,-1.0490000000000002
OG1825,1.464
OG1826,0.35200000000000004
OG1827,-1.473
OG1828,-0.185
OG1829,-0.56
OG183,-5.236000000000001
OG1830,1.3330000000000002
OG1831,-1.252
OG1832,-0.19
OG1833,-2.945
OG1834,-1.416
OG1835,-0.985
OG1836,-1.8090000000000002
OG1837,-0.094
OG1838,-0.835
OG1839,-3.017
OG184,-0.281
OG1840,-1.43
OG1841,-0.54
OG1842,-1.401
OG1843,-1.4569999999999999
OG1844,-0.158
OG1845,0.0
OG1846,-0.843
OG1847,-0.25
OG1848,0.125
OG1849,-1.169
OG185,-0.706
OG1850,-1.101
OG1851,-1.81
OG1852,-0.789
OG1853,-1.1840000000000002
OG1854,-0.7609999999999999
OG1855,-0.883
OG1856,-0.932
OG1857,0.0
OG1858,0.011000000000000001
OG1859,-1.58
OG186,0.028999999999999998
OG1860,-0.958
OG1861,0.009000000000000001
OG1862,-0.242
OG1863,-0.264
OG1864,-1.617
OG1865,-1.4909999999999999
OG1866,-0.799
OG1867,0.7090000000000001
OG1868,-0.36700000000000005
OG1869,0.0
OG187,0.022000000000000002
OG1870,0.494
OG1871,0.67
OG1872,-0.784
OG1873,0.0
OG1874,0.027999999999999997
OG1875,0.040999999999999995
OG1876,2.042
OG1877,-1.2309999999999999
OG1878,-0.142
OG1879,-0.141
OG188,0.304
OG1880,-0.05
OG1881,-0.009000000000000001
OG1882,
OG1883,0.0
OG1884,-0.61
OG1885,-0.43200000000000005
OG1886,-0.5
OG1887,-1.304
OG1888,0.494
OG1889,-1.1520000000000001
OG189,-0.083
OG1890,-1.0490000000000002
OG1891,-0.5
OG1892,-0.521
OG1893,-0.473
OG1894,-1.215
OG1895,-0.589
OG1896,-0.507
OG1897,-0.598
OG1898,-2.059
OG1899,-0.19899999999999998
OG19,-0.511
OG190,-0.423
OG1900,-0.579
OG1901,0.051
OG1902,-1.001
OG1903,-0.5770000000000001
OG1904,-0.28
OG1905,-0.62
OG1906,0.494
OG1907,0.0
OG1908,-1.43
OG1909,0.823
OG191,0.308
OG1910,2.373
OG1911,-0.65
OG1912,
OG1913,-0.746
OG1914,-1.227
OG1915,-0.8590000000000001
OG1916,-0.154
OG1917,-0.21
OG1918,-1.067
OG1919,-0.774
OG192,-0.33299999999999996
OG1920,-0.657
OG1921,-0.44
OG1922,-0.624
OG1923,-3.696
OG1924,-0.892
OG1925,-0.997
OG1926,-1.3780000000000001
OG1927,-2.6439999999999997
OG1928,-2.332
OG1929,-0.963
OG193,0.0
OG1930,0.0
OG1931,-1.186
OG1932,-1.3769999999999998
OG1933,-1.893
OG1934,-0.054000000000000006
